id,TLE_LINE1,TLE_LINE2
CZ-6A DEB,1 61843U 24140ADK 26085.86719789  .00004156  00000-0  11561-2 0  9991,2 61843  88.3352 233.8909 0094650 289.3101  69.7884 14.43634848 83766
STARLINK-32362,1 61845U 24202A   26085.20734769  .00004848  00000-0  18572-3 0  9993,2 61845  43.0003 133.4704 0000991 247.2494 112.8253 15.27554830 78578
STARLINK-32472,1 61846U 24202B   26085.57410387  .00006772  00000-0  25546-3 0  9998,2 61846  42.9978 131.9386 0000322   4.4080 355.6774 15.27567303 78034
STARLINK-32352,1 61847U 24202C   26085.52912376  .00001141  00000-0  50967-4 0  9990,2 61847  43.0011 131.5875 0001851 245.1948 114.8711 15.27597493 78049
STARLINK-32427,1 61848U 24202D   26085.54455077  .00002857  00000-0  11329-3 0  9996,2 61848  43.0026 131.7036 0001381 286.7131  73.3569 15.27578287 78039
STARLINK-32346,1 61849U 24202E   26085.41763272 -.00004092  00000-0 -13919-3 0  9994,2 61849  43.0022 132.4706 0001355 274.0726  85.9971 15.27593445 78016
STARLINK-32330,1 61850U 24202F   26085.44058910  .00011712  00000-0  43405-3 0  9993,2 61850  42.9990 143.0262 0001390 297.7684  62.3026 15.27610734 77907
STARLINK-32379,1 61851U 24202G   26085.52526823 -.00000495  00000-0 -84656-5 0  9999,2 61851  43.0025 131.5576 0001816 238.6861 121.3813 15.27598376 78035
STARLINK-32433,1 61852U 24202H   26085.57522164  .00003169  00000-0  12466-3 0  9996,2 61852  43.0012 142.3180 0001028 241.9999 118.0749 15.27573505 77922
STARLINK-32394,1 61853U 24202J   26085.51240388  .00000259  00000-0  18916-4 0  9990,2 61853  42.9999 142.7084 0001349 270.5382  89.5316 15.27584579 77905
STARLINK-32486,1 61854U 24202K   26085.51625628  .00002137  00000-0  87176-4 0  9996,2 61854  43.0008 142.7376 0001567 274.4640  85.6033 15.27580845 77911
STARLINK-32391,1 61855U 24202L   26085.58551076  .00001225  00000-0  54032-4 0  9991,2 61855  43.0042 142.3968 0000822 277.5326  82.5433 15.27568271 77910
STARLINK-32483,1 61856U 24202M   26085.52396925  .00003320  00000-0  13015-3 0  9999,2 61856  43.0022 142.7955 0001054 247.2117 112.8623 15.27568110 77919
STARLINK-32451,1 61857U 24202N   26085.53167692  .00002998  00000-0  11842-3 0  9994,2 61857  43.0029 142.8570 0000583 292.1243  67.9547 15.27583112 77910
STARLINK-32556,1 61858U 24202P   26085.46242805  .00004407  00000-0  16953-3 0  9992,2 61858  43.0021 143.1943 0001734 297.1919  62.8756 15.27586762 77904
STARLINK-32466,1 61859U 24202Q   26085.46885751  .00002643  00000-0  10555-3 0  9998,2 61859  43.0014 143.2442 0000914 264.7677  95.3071 15.27576230 77902
STARLINK-32316,1 61860U 24202R   26085.45263462 -.00000326  00000-0 -23377-5 0  9994,2 61860  43.0021 139.6590 0001033 276.1339  83.9395 15.27590983 77936
STARLINK-32415,1 61861U 24202S   26085.60734158  .00005317  00000-0  20268-3 0  9994,2 61861  43.0030 142.5643 0001375 255.8383 104.2316 15.27569527 77919
STARLINK-32393,1 61862U 24202T   26085.53810563  .00000373  00000-0  23068-4 0  9991,2 61862  43.0017 142.9052 0000287 223.9161 136.1668 15.27583121 77914
STARLINK-32324,1 61863U 24202U   26085.15734900  .00005540  00000-0  21069-3 0  9999,2 61863  43.0027 145.2049 0001798 256.8082 103.2569 15.27583524 77847
STARLINK-32318,1 61864U 24202V   26085.62147292  .00001675  00000-0  70395-4 0  9996,2 61864  43.0024 142.6662 0002308 262.4768  97.5821 15.27585679 77927
STARLINK-32401,1 61865U 24202W   26085.62533206  .00006791  00000-0  25596-3 0  9997,2 61865  43.0004 142.6922 0001463 291.8526  68.2170 15.27595796 77927
STARLINK-32588,1 61866U 24202X   26085.61890707  .00003040  00000-0  11993-3 0  9999,2 61866  43.0019 142.6464 0000731 271.7009  88.3759 15.27580425 77924
STARLINK-32569,1 61867U 24202Y   26085.56379879 -.00002622  00000-0 -85754-4 0  9990,2 61867  43.0012 143.0901 0001522 257.5615 102.5066 15.27589304 77917
OBJECT A,1 61869U 24203A   26085.94629145  .00015040  00000-0  55545-3 0  9999,2 61869  97.4261 156.4605 0010685 253.8482 106.1582 15.27789033 76393
OBJECT B,1 61870U 24203B   26085.95893565  .00015177  00000-0  55697-3 0  9990,2 61870  97.4241 156.4872 0010219 251.9013 108.1114 15.28000010 76408
